Jacob Salazar, jacob.salazar@uwaterloo.ca, quartzumbrellabat76
Walter Richardson, walter.richardson@uwaterloo.ca, oceanzephyrvulture81
Robert Lopez, robert.lopez@uwaterloo.ca, tangerinehillpeak67
Jordan Brooks, jordan.brooks@uwaterloo.ca, oceandateurchin57
Frances Ramos, frances.ramos@uwaterloo.ca, iceuglibat44
Christian Guzman, christian.guzman@uwaterloo.ca, mangokettlezephyr62
Adam Vargas, adam.vargas@uwaterloo.ca, riverjunglecat48
Lisa Allen, lisa.allen@uwaterloo.ca, mangograssvalley32
Dorothy Ryan, dorothy.ryan@uwaterloo.ca, raspberryoceanlemon27
Julia Reynolds, julia.reynolds@uwaterloo.ca, umbrellapenguingrape33
Albert Parker, albert.parker@uwaterloo.ca, cherrypapayabanana32
Nicholas Munoz, nicholas.munoz@uwaterloo.ca, zebralemonapple69
Evelyn Edwards, evelyn.edwards@uwaterloo.ca, grapeappleshark55
Willie Brown, willie.brown@uwaterloo.ca, monkeyapplevanilla95
Henry Moore, henry.moore@uwaterloo.ca, riverantnectarine37
Megan Garza, megan.garza@uwaterloo.ca, tangerinebattree23
Austin Jones, austin.jones@uwaterloo.ca, vanillaapplejungle42
Olivia Allen, olivia.allen@uwaterloo.ca, figdatekettle26
Gabriel Medina, gabriel.medina@uwaterloo.ca, owlumbrellajungle11
Ryan Ellis, ryan.ellis@uwaterloo.ca, turtlepapayanight77
James Olson, james.olson@uwaterloo.ca, sharkquinceyak77
Douglas Myers, douglas.myers@uwaterloo.ca, dewlemonmonkey73
Bobby Crawford, bobby.crawford@uwaterloo.ca, quartzbatshark38
Victoria Hamilton, victoria.hamilton@uwaterloo.ca, mountainpeakapple42
James Bailey, james.bailey@uwaterloo.ca, frogzephyriguana17
Ralph Long, ralph.long@uwaterloo.ca, umbrellamonkeydate74
Susan Boyd, susan.boyd@uwaterloo.ca, papayaflowervanilla85
Brenda Russell, brenda.russell@uwaterloo.ca, zebrawindflower58
Joshua Hill, joshua.hill@uwaterloo.ca, hillantnectarine56
Ronald Boyd, ronald.boyd@uwaterloo.ca, kettlevanillaflower54
Paul Ross, paul.ross@uwaterloo.ca, honeydewwhalejungle34
Joyce Washington, joyce.washington1@uwaterloo.ca, nightearthearth47
Theresa Robertson, theresa.robertson@uwaterloo.ca, kiwinighturchin71
Lori Green, lori.green@uwaterloo.ca, xylophonequincedew94
Terry Holmes, terry.holmes@uwaterloo.ca, grasskangarooiguana93
Lauren Bell, lauren.bell@uwaterloo.ca, frogwhalegoat99
Kenneth Phillips, kenneth.phillips@uwaterloo.ca, liongrasszephyr27
Carolyn Webb, carolyn.webb@uwaterloo.ca, oceanelderberrynewt91
Kathryn Clark, kathryn.clark1@uwaterloo.ca, grassoceanpapaya19
Susan Gordon, susan.gordon@uwaterloo.ca, kangaroohoneydewquail43
Alan Perry, alan.perry@uwaterloo.ca, yawnyawnnewt58
Eugene Stevens, eugene.stevens@uwaterloo.ca, orangetreeice63
Natalie Ryan, natalie.ryan@uwaterloo.ca, watermelonjunglehill46
Paul Bennett, paul.bennett@uwaterloo.ca, zebranectarinehill45
Sara Lewis, sara.lewis@uwaterloo.ca, batelephantquince63
Jacqueline Boyd, jacqueline.boyd@uwaterloo.ca, zucchiniyawnelderberry34
Roy Wilson, roy.wilson@uwaterloo.ca, iguanakangaroonight30
Julie Crawford, julie.crawford@uwaterloo.ca, mangotreexylophone94
Donna Simpson, donna.simpson@uwaterloo.ca, papayaturtletangerine50
Andrea Henderson, andrea.henderson@uwaterloo.ca, zebraquartzmountain50
Lisa Smith, lisa.smith@uwaterloo.ca, catorangexerus31
Lawrence Nichols, lawrence.nichols@uwaterloo.ca, yellowelephantmango68
Marilyn Gomez, marilyn.gomez@uwaterloo.ca, quincedewvulture38
Lauren Daniels, lauren.daniels@uwaterloo.ca, nectarinetreewhale26
Ronald Romero, ronald.romero@uwaterloo.ca, elderberrygrapeurchin91
Johnny Collins, johnny.collins@uwaterloo.ca, bananaurchinearth24
Ann Johnson, ann.johnson@uwaterloo.ca, xerusgrasscloud94
Linda Russell, linda.russell@uwaterloo.ca, earthraspberryhoneydew53
Deborah Hall, deborah.hall@uwaterloo.ca, junglemonkeynectarine23
Adam Harris, adam.harris@uwaterloo.ca, mountainoceanmango65
Karen Ford, karen.ford@uwaterloo.ca, papayavanillaraspberry25
Raymond Crawford, raymond.crawford@uwaterloo.ca, treeearthcloud53
Judy Hunt, judy.hunt@uwaterloo.ca, valleyantfig32
Jesse Boyd, jesse.boyd@uwaterloo.ca, xiguajellyfishyellow15
Olivia Wallace, olivia.wallace@uwaterloo.ca, jellyfishoceanmango18
Thomas Hill, thomas.hill@uwaterloo.ca, raspberrypeakquartz60
Gregory Ford, gregory.ford@uwaterloo.ca, autumnxerusapple77
Brittany Davis, brittany.davis@uwaterloo.ca, watermelonyawnshark85
Harry Torres, harry.torres@uwaterloo.ca, yawnvultureautumn51
James Garza, james.garza@uwaterloo.ca, kettlevalleynight52
Christina Martinez, christina.martinez@uwaterloo.ca, xylophonejellyfishquince90
Daniel Robinson, daniel.robinson@uwaterloo.ca, xiguafrogkettle99
Johnny Stone, johnny.stone@uwaterloo.ca, mountainsandpapaya41
Olivia Wilson, olivia.wilson@uwaterloo.ca, zephyrvalleywatermelon33
Teresa Martin, teresa.martin@uwaterloo.ca, quincerabbitkangaroo83
Jacob Chen, jacob.chen@uwaterloo.ca, jellyfishhorsecherry55
Ruth Bryant, ruth.bryant@uwaterloo.ca, earthhoneydewriver81
Olivia Ferguson, olivia.ferguson@uwaterloo.ca, turtlegoatyawn94
Denise Baker, denise.baker@uwaterloo.ca, grapequartzmango72
Peter Ward, peter.ward@uwaterloo.ca, grassmonkeyquail80
Diane Hill, diane.hill@uwaterloo.ca, lemonhoneydewxerus34
Beverly Washington, beverly.washington@uwaterloo.ca, icebreezeelderberry69
Richard Henry, richard.henry@uwaterloo.ca, yellowlemonfig30
Russell West, russell.west@uwaterloo.ca, froghillelderberry25
Wayne Black, wayne.black@uwaterloo.ca, umbrellawindbreeze28
Jesse Wagner, jesse.wagner@uwaterloo.ca, newttangerinexigua83
Russell Sullivan, russell.sullivan@uwaterloo.ca, watermelonapplenight66
Olivia Sanchez, olivia.sanchez@uwaterloo.ca, windgrapeelephant60
Kyle Roberts, kyle.roberts@uwaterloo.ca, zucchinijungleearth47
Marilyn Miller, marilyn.miller@uwaterloo.ca, quartzzebrafig95
Sean Woods, sean.woods@uwaterloo.ca, peaknightdate11
Kathleen Phillips, kathleen.phillips@uwaterloo.ca, owlyellowzebra89
Abigail Torres, abigail.torres@uwaterloo.ca, newtkangarooant25
Carl Griffin, carl.griffin@uwaterloo.ca, vanillatangerinexerus46
Vincent Ward, vincent.ward@uwaterloo.ca, elderberrycatice98
Carl Richardson, carl.richardson@uwaterloo.ca, datebreezenewt49
Jesse Hill, jesse.hill@uwaterloo.ca, grapeyawnfig43
Jose Burns, jose.burns@uwaterloo.ca, antnewtbanana19
Janice Bennett, janice.bennett@uwaterloo.ca, zebrasandumbrella45
Olivia Fernandez, olivia.fernandez@uwaterloo.ca, catbreezeelderberry64
Samantha Romero, samantha.romero@uwaterloo.ca, bananagoatxigua38
Gerald Hunt, gerald.hunt@uwaterloo.ca, sharkoceanzephyr36
Alexis Evans, alexis.evans@uwaterloo.ca, antnightkiwi91
Gloria Tran, gloria.tran@uwaterloo.ca, watermelonjellyfishxylophone11
Amanda Ruiz, amanda.ruiz@uwaterloo.ca, dogcherryugli87
Kayla Sullivan, kayla.sullivan@uwaterloo.ca, xylophoneyellowcloud61
Anna Sullivan, anna.sullivan@uwaterloo.ca, grapesharkearth49
Albert Bell, albert.bell@uwaterloo.ca, whaleoceanvulture23
Brenda Hughes, brenda.hughes@uwaterloo.ca, lionlionocean23
Edward Olson, edward.olson@uwaterloo.ca, batfigshark55
Brittany Hill, brittany.hill@uwaterloo.ca, orangenewtmountain55
Adam Soto, adam.soto@uwaterloo.ca, owlpapayapapaya72
William Myers, william.myers@uwaterloo.ca, appleraspberrynight78
Madison Howard, madison.howard@uwaterloo.ca, urchinlemoncat46
Ruth Johnson, ruth.johnson@uwaterloo.ca, appleflowercloud15
Adam Bennett, adam.bennett@uwaterloo.ca, ugligoattree42
Theresa Ellis, theresa.ellis@uwaterloo.ca, elderberrypapayaurchin97
Amanda Scott, amanda.scott@uwaterloo.ca, autumnhillnectarine32
Stanley Clark, stanley.clark@uwaterloo.ca, kangarooquincedew48
Justin Brown, justin.brown@uwaterloo.ca, rabbityellowice94
Douglas Harrison, douglas.harrison@uwaterloo.ca, windmangolake75
Joe Rodriguez, joe.rodriguez@uwaterloo.ca, anthoneydewyellow94
Judy Cruz, judy.cruz@uwaterloo.ca, zebrariverpeak54
Ruth King, ruth.king@uwaterloo.ca, owlrabbitumbrella16
Jesse Rogers, jesse.rogers@uwaterloo.ca, sandyakkiwi87
Rebecca Harris, rebecca.harris@uwaterloo.ca, mountainlemonzephyr94
Helen Porter, helen.porter@uwaterloo.ca, jellyfishjellyfishzephyr13
Billy Castro, billy.castro@uwaterloo.ca, zucchiniyellowtree11
Scott Stone, scott.stone@uwaterloo.ca, peakzephyrmango46
Albert Black, albert.black@uwaterloo.ca, frogtreegrass94
Olivia Diaz, olivia.diaz@uwaterloo.ca, lionautumnquince31
Evelyn Diaz, evelyn.diaz@uwaterloo.ca, batvulturefig84
Heather Mendez, heather.mendez@uwaterloo.ca, monkeyhorsewhale30
Julia Henderson, julia.henderson@uwaterloo.ca, orangeyakxylophone48
Gabriel Rice, gabriel.rice@uwaterloo.ca, umbrellavalleyiguana62
Bryan White, bryan.white@uwaterloo.ca, zebraautumndew76
Victoria Cruz, victoria.cruz@uwaterloo.ca, mangobreezezucchini41
Pamela Mcdonald, pamela.mcdonald@uwaterloo.ca, owlturtleant48
Betty Marshall, betty.marshall@uwaterloo.ca, jellyfishjungleyawn79
Jose Moore, jose.moore@uwaterloo.ca, lemonwindowl72
Henry Silva, henry.silva@uwaterloo.ca, nectarinelaketangerine46
Brittany Alexander, brittany.alexander@uwaterloo.ca, raspberryquailcat42
Danielle Adams, danielle.adams@uwaterloo.ca, urchinelephantlake49
Kyle Hall, kyle.hall@uwaterloo.ca, elderberryzucchinivalley34
Katherine Tran, katherine.tran@uwaterloo.ca, watermelonnectarinefig56
Michael Mills, michael.mills@uwaterloo.ca, hillgrapemountain42
Bruce Medina, bruce.medina@uwaterloo.ca, rabbiturchinjungle84
Natalie Carter, natalie.carter@uwaterloo.ca, quartzgoathorse79
Jordan Anderson, jordan.anderson@uwaterloo.ca, dogiguanagoat54
Jose Thompson, jose.thompson@uwaterloo.ca, icelakefrog91
Keith Taylor, keith.taylor@uwaterloo.ca, applegrapebreeze29
Evelyn Harrison, evelyn.harrison@uwaterloo.ca, lionurchindate10
Kathleen Gardner, kathleen.gardner@uwaterloo.ca, xiguaxiguapapaya77
Emily Chavez, emily.chavez@uwaterloo.ca, honeydewicequail81
Nancy Romero, nancy.romero@uwaterloo.ca, yawndatevalley49
Betty Shaw, betty.shaw@uwaterloo.ca, dogumbrellaquince31
Ann Flores, ann.flores@uwaterloo.ca, horsecloudugli63
Amy Webb, amy.webb@uwaterloo.ca, yakwatermelonwind74
Jessica Dixon, jessica.dixon@uwaterloo.ca, oceangoatxigua88
Anna Meyer, anna.meyer@uwaterloo.ca, valleywatermelongrass32
Justin Castillo, justin.castillo@uwaterloo.ca, anthilltree39
Albert Porter, albert.porter@uwaterloo.ca, riverquincejungle76
Madison Nguyen, madison.nguyen@uwaterloo.ca, vanillaquartzocean64
Henry Meyer, henry.meyer@uwaterloo.ca, sharkpeakautumn32
Anthony Sanchez, anthony.sanchez@uwaterloo.ca, horsenewtnectarine65
Billy Hayes, billy.hayes@uwaterloo.ca, lakekettleriver75
Russell Cooper, russell.cooper@uwaterloo.ca, figflowerhorse32
Terry Webb, terry.webb@uwaterloo.ca, lakequincezephyr31
Billy Smith, billy.smith@uwaterloo.ca, rivermangoapple76
Alexis Young, alexis.young@uwaterloo.ca, monkeywhalevanilla84
Raymond Vargas, raymond.vargas@uwaterloo.ca, grasszephyrocean74
Donald Black, donald.black@uwaterloo.ca, mountainbatdew44
Justin Fernandez, justin.fernandez@uwaterloo.ca, bananazebranectarine78
Donald Rice, donald.rice@uwaterloo.ca, mangoautumnkiwi73
Alan Daniels, alan.daniels@uwaterloo.ca, frogzucchiniautumn16
Alexander Hunter, alexander.hunter@uwaterloo.ca, lakeliondog13
Larry Reyes, larry.reyes@uwaterloo.ca, vanillaxerustangerine61
Brittany Morris, brittany.morris@uwaterloo.ca, junglevultureugli48
Amanda Martinez, amanda.martinez@uwaterloo.ca, yellowgrapedate14
Russell Gomez, russell.gomez@uwaterloo.ca, penguindatecat71
Kathryn Holmes, kathryn.holmes@uwaterloo.ca, autumnstrawberryflower22
Lauren Dixon, lauren.dixon@uwaterloo.ca, batzebraumbrella83
Robert Castillo, robert.castillo@uwaterloo.ca, icevanillalemon77
Roy Perez, roy.perez@uwaterloo.ca, newthoneydewtree47
Catherine Wood, catherine.wood@uwaterloo.ca, antoceanmountain33
Ashley Turner, ashley.turner@uwaterloo.ca, hillpeakumbrella82
Jacqueline Campbell, jacqueline.campbell@uwaterloo.ca, grasslakeumbrella43
Stanley Brown, stanley.brown@uwaterloo.ca, bathillgrass98
Danielle Howard, danielle.howard@uwaterloo.ca, hilloceanumbrella17
Austin Brooks, austin.brooks@uwaterloo.ca, sharkwhaleugli22
Bruce Griffin, bruce.griffin@uwaterloo.ca, yawnpenguinwhale39
Alan Schmidt, alan.schmidt@uwaterloo.ca, jellyfishdewriver72
Christian Meyer, christian.meyer@uwaterloo.ca, kangarooturtlemountain64
Kathryn Wright, kathryn.wright@uwaterloo.ca, mountainbatnewt88
Jerry Stephens, jerry.stephens@uwaterloo.ca, quartzvalleyice20
Edward Allen, edward.allen@uwaterloo.ca, quailfrogpeak60
Victoria Dixon, victoria.dixon@uwaterloo.ca, zucchinibreezekiwi60
Samuel Garcia, samuel.garcia@uwaterloo.ca, zephyrlemonwind15
Theresa Watson, theresa.watson@uwaterloo.ca, lakejellyfishkiwi24
Andrew Reed, andrew.reed@uwaterloo.ca, hillwindriver75
Kimberly Perry, kimberly.perry@uwaterloo.ca, monkeyantriver10
Sean Rogers, sean.rogers@uwaterloo.ca, papayapeakstrawberry24
Kyle Davis, kyle.davis@uwaterloo.ca, nectarineearthhill91
Andrew Garza, andrew.garza@uwaterloo.ca, papayaautumnsand74
Keith James, keith.james@uwaterloo.ca, xylophoneturtlenight66
Michael Hall, michael.hall@uwaterloo.ca, iceflowerhoneydew47
Sophia Diaz, sophia.diaz@uwaterloo.ca, yellowvanilladew40
Paul Palmer, paul.palmer@uwaterloo.ca, catlemonraspberry58
Edward Gomez, edward.gomez@uwaterloo.ca, windiguanamango59
Shirley Henderson, shirley.henderson1@uwaterloo.ca, monkeyraspberryyawn93
Patrick Taylor, patrick.taylor@uwaterloo.ca, honeydewjellyfishdew95
Linda Rogers, linda.rogers@uwaterloo.ca, treeraspberryumbrella87
Louis Perry, louis.perry@uwaterloo.ca, newtmonkeyflower32
Gabriel Mason, gabriel.mason@uwaterloo.ca, earthriverstrawberry51
Charles Torres, charles.torres@uwaterloo.ca, monkeycherrymountain80
George Freeman, george.freeman@uwaterloo.ca, yellowflowervanilla42
Elizabeth Brooks, elizabeth.brooks@uwaterloo.ca, autumnfrogturtle58
Jacob Daniels, jacob.daniels@uwaterloo.ca, orangemangovalley93
Christian Patterson, christian.patterson@uwaterloo.ca, xerusxylophonezephyr67
Andrea Thomas, andrea.thomas@uwaterloo.ca, zebrakiwidate57
Denise Porter, denise.porter@uwaterloo.ca, kettlexiguabat87
Sean Russell, sean.russell@uwaterloo.ca, lionzephyrtangerine74
Isabella Schmidt, isabella.schmidt@uwaterloo.ca, treeraspberryelderberry76
Zachary Scott, zachary.scott@uwaterloo.ca, sandwhaleorange53
Victoria Alvarez, victoria.alvarez@uwaterloo.ca, catquartzyawn70
Beverly Chen, beverly.chen@uwaterloo.ca, windhillwhale82
Kyle Wells, kyle.wells@uwaterloo.ca, mangourchinpapaya87
Judy Gibson, judy.gibson@uwaterloo.ca, jellyfishvanillabanana36
Stephen Coleman, stephen.coleman@uwaterloo.ca, treevanillamountain65
Kimberly Rose, kimberly.rose@uwaterloo.ca, batpeakcat18
Jacqueline Lopez, jacqueline.lopez@uwaterloo.ca, monkeyzebraxigua86
Adam Kelly, adam.kelly@uwaterloo.ca, watermelonoceanmonkey40
Bobby Brooks, bobby.brooks@uwaterloo.ca, windmonkeykangaroo30
Stephanie Brooks, stephanie.brooks@uwaterloo.ca, nectarineraspberrypapaya28
Jack Kelly, jack.kelly@uwaterloo.ca, orangemountainant52
Joan Roberts, joan.roberts@uwaterloo.ca, sandyellowlion39
Patricia Smith, patricia.smith@uwaterloo.ca, bananahorseraspberry11
Eugene Alvarez, eugene.alvarez@uwaterloo.ca, antgoatpenguin76
Daniel Boyd, daniel.boyd@uwaterloo.ca, quartzlionxigua38
Henry Patel, henry.patel@uwaterloo.ca, uglifrogfrog75
Janice Simmons, janice.simmons@uwaterloo.ca, cloudzephyrvanilla16
Lauren King, lauren.king@uwaterloo.ca, xiguaraspberryflower26
Anthony Owens, anthony.owens@uwaterloo.ca, mangonewtmonkey46
Alexis Tucker, alexis.tucker@uwaterloo.ca, xylophoneyaklake72
Daniel Wilson, daniel.wilson@uwaterloo.ca, fignectarineorange61
Elizabeth Crawford, elizabeth.crawford@uwaterloo.ca, tangerineflowerwind37
Jessica Mendoza, jessica.mendoza@uwaterloo.ca, xylophoneowlzebra62
Jeffrey King, jeffrey.king@uwaterloo.ca, iguanadogxerus83
Alice Lewis, alice.lewis@uwaterloo.ca, yawnhoneydewkangaroo67
Alan Soto, alan.soto@uwaterloo.ca, kangaroonectarinepapaya23
Roy Collins, roy.collins@uwaterloo.ca, nightowlsand87
Heather King, heather.king@uwaterloo.ca, kiwisharkkiwi12
Brenda Ramos, brenda.ramos@uwaterloo.ca, honeydewrabbitmango72
Alan Roberts, alan.roberts@uwaterloo.ca, kangarooiguanadog60
Leonard Bell, leonard.bell@uwaterloo.ca, autumnpenguindog11
Jessica Mendez, jessica.mendez@uwaterloo.ca, elephantfroglake28
Ashley Cooper, ashley.cooper@uwaterloo.ca, zebraiguanabanana68
Abigail Castillo, abigail.castillo@uwaterloo.ca, dewvalleyhill81
Philip Taylor, philip.taylor@uwaterloo.ca, penguinurchinxigua98
Donald Gonzales, donald.gonzales@uwaterloo.ca, junglesharkgoat80
Martha Gordon, martha.gordon@uwaterloo.ca, newtraspberryshark91
Christina Dixon, christina.dixon@uwaterloo.ca, zephyrjellyfishjungle18
Virginia Henderson, virginia.henderson@uwaterloo.ca, nightmountainxigua69
Steven Romero, steven.romero@uwaterloo.ca, batyawnraspberry14
Douglas Wells, douglas.wells@uwaterloo.ca, zephyrquartzvanilla98
Jack Cox, jack.cox@uwaterloo.ca, quinceoceanbanana85
Brittany Lopez, brittany.lopez@uwaterloo.ca, monkeyhorsefig25
Patrick Stone, patrick.stone@uwaterloo.ca, sharkurchinflower64
Laura Morgan, laura.morgan@uwaterloo.ca, cherryorangejungle89
Sara Ellis, sara.ellis@uwaterloo.ca, cloudrabbitnight32
Anna Gordon, anna.gordon@uwaterloo.ca, tangerinezebraapple30
Jose Brown, jose.brown@uwaterloo.ca, cherrysandyak60
Heather Coleman, heather.coleman@uwaterloo.ca, uglixeruspeak73
Heather Young, heather.young@uwaterloo.ca, riverpapayaice99
Ryan Smith, ryan.smith@uwaterloo.ca, lionwatermelonpenguin54
Laura Gonzalez, laura.gonzalez@uwaterloo.ca, strawberryyellowpenguin13
Denise Thompson, denise.thompson@uwaterloo.ca, junglestrawberryelderberry30
Terry Owens, terry.owens@uwaterloo.ca, monkeywindcloud19
Katherine Moore, katherine.moore@uwaterloo.ca, whalecherrywatermelon63
Edward Hernandez, edward.hernandez@uwaterloo.ca, newtelephantquail93
Dylan Collins, dylan.collins@uwaterloo.ca, grapexerusxigua65
Wayne Morales, wayne.morales@uwaterloo.ca, quincevalleyugli39
Joe Henry, joe.henry@uwaterloo.ca, jellyfishrabbitquartz87
Jeffrey King, jeffrey.king1@uwaterloo.ca, autumnwatermelonkettle46
Christopher Meyer, christopher.meyer@uwaterloo.ca, tangerineurchindog21
Ann Kennedy, ann.kennedy@uwaterloo.ca, mountainraspberrylake57
Nathan Brooks, nathan.brooks@uwaterloo.ca, appleraspberryyawn79
Emily Mcdonald, emily.mcdonald@uwaterloo.ca, quinceurchinxigua38
Eugene Wallace, eugene.wallace@uwaterloo.ca, caticegrass46
Mark Anderson, mark.anderson@uwaterloo.ca, whalelemongrass77
Lisa Garza, lisa.garza@uwaterloo.ca, frogturtlexerus91
Natalie Rose, natalie.rose@uwaterloo.ca, sandvultureugli20
Lisa Perry, lisa.perry@uwaterloo.ca, yawnowlvanilla78
Jack Washington, jack.washington@uwaterloo.ca, treeautumnant11
Elizabeth Reynolds, elizabeth.reynolds@uwaterloo.ca, zephyrdategoat48
Gloria Garcia, gloria.garcia@uwaterloo.ca, rabbitbananariver14
William Reynolds, william.reynolds@uwaterloo.ca, elderberrygrapepenguin78
Jessica Cook, jessica.cook@uwaterloo.ca, goatorangequince85
Larry Wood, larry.wood@uwaterloo.ca, watermelonelephantdate92
Wayne Wilson, wayne.wilson@uwaterloo.ca, honeydewfrogwind45
Zachary Washington, zachary.washington@uwaterloo.ca, xerusgrapeurchin35
Helen Stevens, helen.stevens@uwaterloo.ca, lakenewtugli57
Isabella Soto, isabella.soto@uwaterloo.ca, bananaraspberrybanana27
Jesse Patel, jesse.patel@uwaterloo.ca, yakwindrabbit25
Lauren Ramos, lauren.ramos@uwaterloo.ca, applevanillaelderberry90
Kenneth Schmidt, kenneth.schmidt@uwaterloo.ca, dewiguanaraspberry60
Christian Rose, christian.rose@uwaterloo.ca, flowerhillcat97
Jordan Martinez, jordan.martinez@uwaterloo.ca, turtlehorsenewt23
Gerald Gonzalez, gerald.gonzalez@uwaterloo.ca, grassurchinelderberry29
Donald Wilson, donald.wilson@uwaterloo.ca, nightpapayadate26
Brittany Castillo, brittany.castillo@uwaterloo.ca, dateautumnsand66
Roy Sanchez, roy.sanchez@uwaterloo.ca, cloudlemoncloud57
Brenda Chavez, brenda.chavez@uwaterloo.ca, orangefigsand87
Joshua Kelly, joshua.kelly@uwaterloo.ca, turtlecloudsand19
Ethan Vargas, ethan.vargas@uwaterloo.ca, kiwiyawnautumn17
Cynthia Freeman, cynthia.freeman@uwaterloo.ca, icezephyrnight56
Johnny Mcdonald, johnny.mcdonald@uwaterloo.ca, cherryquailyak41
Samantha Cox, samantha.cox@uwaterloo.ca, zebraearthautumn29
Vincent King, vincent.king@uwaterloo.ca, batquailpapaya70
Brittany White, brittany.white@uwaterloo.ca, papayacloudant40
Roger Thompson, roger.thompson@uwaterloo.ca, rivervalleyyak59
Elizabeth Morris, elizabeth.morris@uwaterloo.ca, xeruswindlion78
Jennifer Coleman, jennifer.coleman@uwaterloo.ca, monkeyhoneydewgrape23
Gabriel Wood, gabriel.wood@uwaterloo.ca, xylophoneapplepapaya71
Kayla Baker, kayla.baker@uwaterloo.ca, jellyfishquailxylophone35
Anthony Barnes, anthony.barnes@uwaterloo.ca, grasspapayagrape99
Victoria White, victoria.white@uwaterloo.ca, oceancloudbreeze31
Laura Salazar, laura.salazar@uwaterloo.ca, zephyrtangerinetangerine82
Maria Chavez, maria.chavez@uwaterloo.ca, breezezephyrxylophone52
Barbara Mason, barbara.mason@uwaterloo.ca, jellyfishsandkangaroo31
Victoria Fox, victoria.fox@uwaterloo.ca, whalenewtdog31
Randy Hughes, randy.hughes@uwaterloo.ca, nightbatocean69
Sandra Young, sandra.young@uwaterloo.ca, icegrapequail28
Jean Vargas, jean.vargas@uwaterloo.ca, penguinturtlebanana54
